,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
62,Air India,BOM,DEL,7h 45m,1 stop,2024-06-23,15:55,23:40,"₹ 15,642"
63,Air India,BOM,DEL,7h 20m,1 stop,2024-06-23,13:10,20:30,"₹ 16,131"
64,Air India,BOM,DEL,7h 05m,1 stop,2024-06-23,10:15,17:20,"₹ 16,854"
65,Air India,BOM,DEL,6h 50m,1 stop,2024-06-23,17:15,00:05+1,"₹ 17,019"
66,Vistara,BOM,DEL,7h 10m,1 stop,2024-06-23,15:35,22:45,"₹ 17,429"
67,Vistara,BOM,DEL,5h 40m,1 stop,2024-06-23,16:00,21:40,"₹ 18,338"
68,"Akasa Air, Air India",BOM,DEL,8h 35m,1 stop,2024-06-23,23:55,08:30+1,"₹ 18,413"
69,Vistara,BOM,DEL,6h 20m,1 stop,2024-06-23,16:00,22:20,"₹ 18,443"
70,"Air India Express, Air India Express",BOM,DEL,8h 00m,1 stop,2024-06-23,12:15,20:15,"₹ 21,007"
71,Vistara,BOM,DEL,6h 15m,1 stop,2024-06-23,17:50,00:05+1,"₹ 23,293"
72,Vistara,BOM,DEL,5h 10m,1 stop,2024-06-23,15:35,20:45,"₹ 26,942"
73,Vistara,BOM,DEL,5h 40m,1 stop,2024-06-23,11:25,17:05,"₹ 31,048"
74,Air India Express,BOM,DEL,8h 25m,1 stop,2024-06-23,12:25,20:50,"₹ 27,250"
75,Vistara,BOM,DEL,7h 50m,1 stop,2024-06-23,16:00,23:50,"₹ 27,770"
76,Air India,BOM,DEL,8h 20m,1 stop,2024-06-23,15:05,23:25,"₹ 28,003"
77,Akasa Air,BOM,DEL,7h 25m,1 stop,2024-06-23,23:55,07:20+1,"₹ 28,895"
78,Vistara,BOM,DEL,8h 50m,2 stops,2024-06-23,11:25,20:15,"₹ 33,216"
79,Air India,BOM,DEL,4h 55m,1 stop,2024-06-23,15:00,19:55,"₹ 33,973"
80,SpiceJet,BOM,DEL,5h 20m,1 stop,2024-06-23,12:25,17:45,"₹ 37,488"
81,Etihad Airways,BOM,DEL,8h 50m,1 stop,2024-06-23,23:05,07:55+1,"₹ 37,714"
82,SpiceJet,BOM,DEL,8h 30m,1 stop,2024-06-23,12:25,20:55,"₹ 38,190"
83,SpiceJet,BOM,DEL,6h 35m,1 stop,2024-06-23,14:20,20:55,"₹ 39,046"
84,Vistara,BOM,DEL,8h 45m,2 stops,2024-06-23,15:05,23:50,"₹ 40,817"
85,Air India,BOM,DEL,8h 00m,1 stop,2024-06-23,15:00,23:00,"₹ 41,414"
86,Vistara,BOM,DEL,6h 20m,1 stop,2024-06-23,17:30,23:50,"₹ 42,648"
87,"Air India, Vistara",BOM,DEL,6h 30m,1 stop,2024-06-23,15:30,22:00,"₹ 50,403"
88,Air India,BOM,DEL,5h 40m,1 stop,2024-06-23,16:40,22:20,"₹ 51,637"
89,Air India,BOM,DEL,6h 45m,1 stop,2024-06-23,09:25,16:10,"₹ 51,637"
90,Air India,BOM,DEL,7h 15m,1 stop,2024-06-23,16:40,23:55,"₹ 51,637"
91,Air India,BOM,DEL,8h 25m,1 stop,2024-06-23,10:05,18:30,"₹ 51,637"
92,Air India,BOM,DEL,9h 05m,1 stop,2024-06-23,09:25,18:30,"₹ 51,637"
93,"Vistara, Air India",BOM,DEL,5h 15m,1 stop,2024-06-23,15:05,20:20,"₹ 57,506"
94,"Air India, Vistara",BOM,DEL,4h 55m,1 stop,2024-06-23,15:00,19:55,"₹ 58,997"
95,"Air India, Vistara",BOM,DEL,5h 45m,1 stop,2024-06-23,15:00,20:45,"₹ 58,997"
96,"Vistara, Air India",BOM,DEL,6h 20m,1 stop,2024-06-23,16:00,22:20,"₹ 69,024"
97,"Vistara, Air India",BOM,DEL,6h 25m,1 stop,2024-06-23,17:30,23:55,"₹ 69,024"
98,"Air India, Vistara",BOM,DEL,5h 40m,1 stop,2024-06-23,16:40,22:20,"₹ 71,678"
99,"Vistara, Air India",BOM,DEL,8h 45m,1 stop,2024-06-23,13:50,22:35,"₹ 77,852"
100,"Vistara, Air India",BOM,DEL,7h 55m,1 stop,2024-06-23,16:00,23:55,"₹ 78,458"
101,"Air India, Vistara",BOM,DEL,6h 00m,1 stop,2024-06-23,17:15,23:15,"₹ 79,634"
102,"Vistara, Air India",BOM,DEL,7h 25m,1 stop,2024-06-23,15:35,23:00,"₹ 86,825"
103,"Vistara, Air India",BOM,DEL,8h 50m,2 stops,2024-06-23,15:05,23:55,"₹ 113,317"
104,IndiGo,BOM,BLR,1h 40m,direct,2024-06-23,09:05,10:45,"₹ 5,648"
105,Akasa Air,BOM,BLR,1h 50m,direct,2024-06-23,23:55,01:45+1,"₹ 4,487"
106,Akasa Air,BOM,BLR,1h 45m,direct,2024-06-23,18:35,20:20,"₹ 7,480"
107,IndiGo,BOM,BLR,1h 55m,direct,2024-06-23,19:10,21:05,"₹ 6,129"
108,IndiGo,BOM,BLR,1h 45m,direct,2024-06-23,12:45,14:30,"₹ 6,549"
109,IndiGo,BOM,BLR,1h 45m,direct,2024-06-23,11:30,13:15,"₹ 6,726"
110,IndiGo,BOM,BLR,1h 45m,direct,2024-06-23,18:00,19:45,"₹ 6,969"
111,IndiGo,BOM,BLR,1h 45m,direct,2024-06-23,10:15,12:00,"₹ 7,158"
112,IndiGo,BOM,BLR,1h 45m,direct,2024-06-23,23:30,01:15+1,"₹ 4,869"
113,Akasa Air,BOM,BLR,1h 45m,direct,2024-06-23,22:45,00:30+1,"₹ 5,195"
114,Akasa Air,BOM,BLR,1h 50m,direct,2024-06-23,21:25,23:15,"₹ 5,195"
115,IndiGo,BOM,BLR,1h 45m,direct,2024-06-23,21:45,23:30,"₹ 5,289"
116,IndiGo,BOM,BLR,1h 55m,direct,2024-06-23,16:30,18:25,"₹ 7,389"
117,Vistara,BOM,BLR,2h 05m,direct,2024-06-23,18:50,20:55,"₹ 8,058"
118,IndiGo,BOM,BLR,1h 35m,direct,2024-06-23,20:30,22:05,"₹ 8,439"
119,Vistara,BOM,BLR,1h 55m,direct,2024-06-23,21:30,23:25,"₹ 6,798"
120,IndiGo,BOM,BLR,1h 50m,direct,2024-06-23,13:45,15:35,"₹ 8,964"
121,Vistara,BOM,BLR,1h 45m,direct,2024-06-23,17:30,19:15,"₹ 11,476"
122,Air India Express,BOM,BLR,3h 40m,1 stop,2024-06-23,18:25,22:05,"₹ 7,138"
123,IndiGo,BOM,BLR,1h 55m,direct,2024-06-23,15:15,17:10,"₹ 11,379"
124,Air India Express,BOM,BLR,2h 05m,direct,2024-06-23,20:35,22:40,"₹ 12,783"
125,Vistara,BOM,BLR,1h 45m,direct,2024-06-23,16:00,17:45,"₹ 14,253"
126,IndiGo,BOM,BLR,4h 10m,1 stop,2024-06-23,21:20,01:30+1,"₹ 6,906"
127,IndiGo,BOM,BLR,4h 45m,1 stop,2024-06-23,19:30,00:15+1,"₹ 8,016"
128,IndiGo,BOM,BLR,5h 05m,1 stop,2024-06-23,14:00,19:05,"₹ 8,646"
129,IndiGo,BOM,BLR,4h 50m,1 stop,2024-06-23,19:15,00:05+1,"₹ 8,821"
130,IndiGo,BOM,BLR,4h 50m,1 stop,2024-06-23,15:30,20:20,"₹ 9,097"
131,IndiGo,BOM,BLR,6h 05m,1 stop,2024-06-23,12:00,18:05,"₹ 7,352"
132,IndiGo,BOM,BLR,6h 15m,1 stop,2024-06-23,19:15,01:30+1,"₹ 7,728"
